7.259338;8.557931;9.929409;0.436942;8.843433;0.781799;2.445146;7.180507;1.369544;9.771677;0.800815;3.950463;0.617781;6.95576;7.316667;6.839008;6.294321;7.479688;8.056631;3.224779;
9.402824;8.869493;9.499787;1.76147;9.925825;3.899815;7.371765;8.116537;4.625569;2.008744;1.554518;3.341432;6.653189;3.700901;8.346918;3.260941;6.539161;0.763891;8.900736;1.534456;
8.535603;6.82332;8.475983;4.797329;3.895253;2.531583;1.360251;6.713783;9.281098;8.786318;5.906539;6.522715;6.452452;3.888861;1.099204;6.812965;9.388906;5.991483;1.821475;5.547834;
8.83895;6.586326;6.285359;0.779007;9.68535;3.816319;7.530267;9.458133;3.058697;3.284266;7.842583;5.627579;8.096586;4.782346;5.382731;4.992412;5.650258;4.761154;7.71188;2.931932;
3.804308;9.108553;5.149403;4.868418;2.990498;4.994524;1.784955;8.835748;6.641964;4.692062;9.468088;5.79346;3.250474;6.812067;2.094652;6.85019;3.521122;6.667347;7.188349;0.808502;
9.27008;7.522637;8.670462;1.667077;1.610369;0.756259;1.287203;7.064998;0.02255;6.229065;6.54981;2.063509;7.50222;2.95913;1.607938;6.463192;4.412982;5.304579;1.104853;5.747867;
3.552829;1.207307;4.040304;3.782983;9.836595;4.352598;1.701018;4.104245;9.207848;5.360485;0.162716;9.4913;7.386832;6.802833;8.771193;9.912145;7.869185;3.39516;5.666517;3.666399;
3.690089;0.564322;9.590545;8.984335;0.510017;4.442078;4.253922;7.575482;0.451443;0.233394;2.263736;3.94887;0.442003;7.354299;1.543612;1.178267;7.452016;8.267973;8.932419;9.942307;
0.355921;2.624101;9.823989;8.940487;4.479133;5.419362;4.17465;0.340798;0.778907;5.633505;1.966179;0.940642;3.938725;0.423216;2.872372;0.677101;6.514986;8.488536;0.697473;8.068947;
1.481601;7.964102;6.994278;9.777707;2.153681;4.907864;4.397268;0.018051;4.458787;1.376314;4.053261;0.021014;8.670408;0.49352;3.525776;2.383709;6.26405;8.35971;9.130509;5.507643;
9.506433;0.682656;9.776699;1.920261;0.617117;9.841203;2.847664;2.437634;2.893464;9.980614;7.177748;4.462319;3.604905;4.395535;8.05361;1.21537;6.210771;8.76679;6.326973;9.886315;
9.847228;8.565081;6.241593;2.43882;9.730206;0.947959;7.221245;8.975161;0.078926;5.060799;9.582986;4.508589;2.941555;9.508999;7.68028;8.428223;5.25881;0.894559;0.616664;4.905816;
8.365438;8.096883;5.756464;2.816188;2.887717;0.546803;8.051667;3.726166;9.394498;4.297669;7.598009;9.407486;4.330583;7.130559;5.358992;9.259263;5.965453;3.825525;7.157542;7.340679;
0.721921;4.698144;4.501395;1.529602;3.014268;2.728786;9.368978;3.036939;3.952451;2.315059;0.0675;6.627917;4.37572;9.078491;6.307944;8.587505;7.622033;9.076507;0.81663;6.041857;
6.366542;2.147765;2.346806;5.510375;7.463315;3.215924;9.571842;1.685125;8.321975;0.753211;5.582465;8.673608;1.494676;5.124283;4.929732;3.460681;5.789787;2.281538;9.106044;2.695932;
9.103161;7.789105;1.31587;7.934133;6.482748;0.827185;7.823209;1.442637;6.033718;0.642238;0.964412;6.424279;6.536613;5.172909;4.470156;1.747682;5.386654;6.532077;8.345448;7.541222;
0.409477;4.766905;6.979641;4.057652;7.673796;4.71472;1.809891;2.888544;2.973551;4.188067;3.619176;8.501457;1.881432;5.993012;1.122935;3.703131;3.978893;2.202759;5.714441;2.804022;
6.822855;5.297094;0.849311;1.263949;9.390766;3.959482;7.371259;1.294441;0.829095;7.361561;0.582235;3.184517;2.973974;6.73483;6.85935;5.810625;6.420483;5.822382;9.34613;1.362252;
8.439321;7.398959;7.09743;8.826569;0.054538;9.404818;9.182024;0.392678;5.193751;1.171032;8.468876;1.422731;4.007801;8.792438;8.517797;1.356741;6.797147;0.449071;6.868503;5.583997;
4.372758;4.041746;0.838691;1.838325;1.942395;6.079171;0.356871;9.149077;2.817085;6.627655;1.48824;0.761358;0.685186;4.648245;6.142866;9.195703;2.424242;0.681404;1.234538;9.71535;
